scrape_date,scrape_timestamp,dining_hall,campus,meal_period,item_name,serving_size,source_url,nutrition_link,calories_kcal,total_fat_g,sat_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugar_g,protein_g,is_vegetarian,is_vegan,is_high_protein,is_low_calorie,is_low_sodium
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,CHILI GARLIC CRUNCH,1 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=195503*1,131.0,11.9,0.9,0.0,0.0,661.1,,0.3,0.7,2.1,True,True,False,True,False
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,CHOPPED GINGER,1 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=150119*1,23.0,0.2,0.1,0.0,0.0,3.7,,0.6,0.5,0.5,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,GREEN PEAS,4 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=130042*4,90.0,0.6,0.0,,0.0,133.9,,5.1,7.7,6.4,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,VEGETABLE BROTH,6 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=111264*6,36.0,0.8,0.2,0.0,0.0,359.5,,0.1,0.0,1.3,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,7 GRAIN CRISPY VEGAN TENDERS,8 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=143032*8,518.0,30.0,1.6,,0.0,926.1,,9.6,3.2,22.4,True,True,True,False,False
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,BLACK BEAN BURGER,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=019105*1,146.0,6.7,0.0,0.0,0.0,416.1,,3.5,0.0,6.2,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,CRISPY CHICKEN,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=019962*1,273.0,10.1,2.0,0.0,65.8,688.5,,1.0,0.0,26.3,False,False,True,True,False
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,GRILLED HALAL CHICKEN,4 OZ,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=111259*4,157.0,4.9,0.9,0.0,81.6,77.0,,0.6,0.0,26.3,False,False,True,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,HALAL BURGER,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=019958*1,146.0,8.3,3.3,0.0,35.5,396.9,,0.0,0.0,13.4,True,True,False,True,True
05/07/2026,2026-05-07T18:01:57,The Atrium,Busch,Dinner,HAMBURGER VEGAN BUN,1 EACH,https://menuportal23.dining.rutgers.edu/FoodPronet/pickmenu.aspx?locationNum=13&locationName=The+Atrium&dtdate=05/07/2026&activeMeal=Dinner&sName=Rutgers+University+Dining,https://menuportal23.dining.rutgers.edu/FoodPronet/label.aspx?locationNum=13&locationName=The+Atrium&dtdate=05%2f07%2f2026&RecNumAndPort=019961*1,127.0,1.1,0.0,0.0,0.0,222.4,,0.0,1.1,3.2,False,False,False,True,True
